word,string,_word,heading,content,table,,,,,,,
senselessly,<p><b>SENSELESSLY</b> adv. <i>sens'lessly</i>. In a senseless manner,seigniory,Seigniory, as a man <i>senselessly </i>arrogant.,senselessly,Senselessly,<div><p><b>SENSELESSLY</b> <i>adverb</i> <i>sens'lessly</i>. In a senseless manner, stupidly, unreasonably, as a man <i>senselessly</i> arrogant.</p></div>,,
shorn,<p><b>SHORN</b> pp. of <i>shear</i>.<p> 1. Cut off,shame,Shame, as a prince <i>shorn</i> of his honors.,shorn,Shorn,<div><p><b>SHORN</b> <i>participle passive</i> of <i>shear</i>.</p><p><b>1.</b> Cut off, as a lock of wool <i>shorn</i>.</p><p><b>2.</b> Having the hair or wool cut off or sheared, as a <i>shorn</i> lamb.</p><p><b>3.</b> Deprived, as a prince <i>shorn</i> of his honors.</p></div>,,
unreclaimed,<p><b>UNRECLA'IMED.</b> a. <p><DD>1. Not reclaimed,unqualitied,Unqualitied, as a wild beast unreclaimed.<p><DD>2. Not reformed, not called back from vice to virtue.,unreclaimed,Unreclaimed,<div><p><b>UNRECLA'IMED</b>. <i>adjective</i> </p><p><b>1.</b> Not reclaimed, not brought to a domestic state, not tamed, as a wild beast <i>unreclaimed</i> </p><p><b>2.</b> Not reformed, not called back from vice to virtue.</p></div>
bleaky,<p><b>BLE'AKY</b> a. Bleak,bibliolite,Bibliolite, chill.,bleaky,Bleaky,<div><p><b>BLE'AKY</b> <i>adjective</i> Bleak, open unsheltered, cold, chill.</p></div>,,
besot,<p><b>BESOT'</b>v.t. [be and sot.] To make sottish,befoam,Befoam, to make dull or senseless.<p><DD>1. To make to dote.,besot,Besot,<div><p><b>BESOT</b>'<i>verb intransitive</i> [be and sot.] To make sottish, to infatuate, to stupify, to make dull or senseless.</p><p><b>1.</b> To make to dote.</p></div>,,
alms-chest,<p><b>'ALMS-BASKET,agonize,Agonize,</b> vessels appropriated to receive alms.,almschest,Alms-chest,<div><p>'ALMS-BASKET, 'ALMS-BOX, 'ALMS-CHEST, vessels appropriated to receive alms.</p></div>,,
allottery,<p><b>ALLOT'TERY </b>is used by Shakespeare for allotment,aggregate,Aggregate,Allottery,<div><p><b>ALLOT'TERY</b> is used by Shakespeare for allotment, but is not authorized by usage.</p></div>,,,,,,
apograph,<p><b>AP'OGRAPH</b> n. [Gr.] An exemplar,anhydrous,Anhydrous,Apograph,<div><p><b>AP'OGRAPH</b> <i>noun</i> [Gr.] An exemplar, a copy or transcript.</p></div>,,,,,,
birdstares,<p><b>BIRDSTARES</b> and <b>BIRDSTONGUE</b>,besmoked,Besmoked,Birdstares,"<div><p><b>BIRDSTARES</b> and <b>BIRDSTONGUE</b>; names of plants.</p><p><b>BIRD'-WITTED</b>, <i>adjective</i> Not having the faculty of attention.</p></div>",,,,,,,
counterwork,<p><b>COUNTERWORK</b>. [See Work.] To work in opposition to,cotillon,Cotillon,counterwork,Counterwork,<div><p><b>COUNTERWORK</b>. [<a class='crossref' href='#' target='Work'>See Work</a>.] To work in opposition to, to counteract, to hinder any effect by contrary operations.</p><p>That counterworks each folly and caprice.</p></div>,,,,
